1,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
snomedct_106221001_mondo,rarelink_6_1_genetic_findings,,text,6.1.1 Genomic Diagnosis [MONDO],BIOPORTAL:MONDO,The genetic finding of a variant can be linked to a disease in (5.1) if the same MONDO codes is used.,,,,,[genetic_diagnosis_code] = 'mondo',y,,,,,"Variable: 
SNOMED:106221001 | Genomic Diagnosis
Choices: 
n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping: 
- HL7 FHIR Expression v4.0.1: [Suggested] : Condition.code
- GA4GH Phenopacket Schema v2.0 Element: Interpretation.Diagnosis.disease"
snomedct_106221001_omim_p,rarelink_6_1_genetic_findings,,text,6.1.1 Genomic Diagnosis [OMIM_p],BIOPORTAL:OMIM,The genetic finding of a variant can be linked to a disease in (5.1) if the same OMIM codes is used.,,,,,[genetic_diagnosis_code] = 'omim',y,,,,,"Variable: 
SNOMED:106221001 | Genomic Diagnosis
Choices: 
n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.code
- GA4GH Phenopacket Schema v2.0 Element: Interpretation.Diagnosis.disease
"
ga4gh_progress_status,rarelink_6_1_genetic_findings,,dropdown,6.1.2 Progress Status of Interpretation,"ga4gh_unknown_progress, Unknown progress | ga4gh_in_progress, In progress | ga4gh_completed, Completed | ga4gh_solved, Solved | ga4gh_unsolved, Unsolved
",​​The interpretation has a ProgressStatus that refers to the status of the attempted diagnosis.,,,,,,,,,,,"Variable: 
GA4GH:progress_status | Progress Status of Interpretation
Choices: 
GA4GH:UNKNOWN_PROGRESS | No information is available about the diagnosis
GA4GH:IN_PROGRESS | No diagnosis has been found to date but additional differential diagnostic work is in progress.
GA4GH:COMPLETED | The work on the interpretation is complete.
GA4GH:SOLVED | The interpretation is complete and also considered to be a definitive diagnosis
GA4GH:UNSOLVED | The interpretation is complete but no definitive diagnosis was found
Version(s): 
- GA4GH Phenopacket Schema Version 2.0
Mapping: 
- HL7 FHIR Expression v4.0.1: [Suggested] Condition.extension (VS: GA4GH)
- GA4GH Phenopacket Schema v2.0 Element: Interpretation.progress_status"
ga4gh_interp_status,rarelink_6_1_genetic_findings,,dropdown,6.1.3 Interpretation Status,"ga4gh_unknown_status, Unknown status | ga4gh_rejected, Rejected | ga4gh_candidate, Candidate | ga4gh_contributory, Contributory | ga4gh_causative, Causative",An enumeration that describes the conclusion made about the genomic interpretation.,,,,,,,,,,,"Variable: 
GA4GH:interpretation_status | Interpretation Status
Choices: 
GA4GH:UNKNOWN_STATUS | No information is available about the status
GA4GH:REJECTED | The variant or gene reported here is interpreted not to be related to the diagnosis
GA4GH:CANDIDATE | The variant or gene reported here is interpreted to possibly be related to the diagnosis
GA4GH:CONTRIBUTORY | The variant or gene reported here is interpreted to be related to the diagnosis
GA4GH:CAUSATIVE | The variant or gene reported here is interpreted to be causative of the diagnosis
Version(s): 
- GA4GH Phenopacket Schema Version 2.0
Mapping: 
- FHIR Expression v4.0.1: [Suggested] Condition.extension (VS: GA4GH)
- GA4GH Phenopacket Schema v2.0 Element: Interpretation.GenomicInterpretation"
loinc_81304_8,rarelink_6_1_genetic_findings,,dropdown,6.1.4 Structural Variant Analysis Method,"loinc_la26406-1, Karyotyping | loinc_la26404-6, FISH | loinc_la26418-6, PCR | loinc_la26419-4, qPCR (real-time PCR) | loinc_la26400-4, SNP array | loinc_la26813-8, Restriction fragment length polymorphism (RFLP) | loinc_la26810-4, DNA hybridization | loinc_la26398-0, Sequencing | loinc_la26415-2, MLPA | loinc_la46-8, Other",The method used to analyse structural variants in the genome.,,,,,,,,,,,"Variable: 
LOINC:81304-8 | Structural Variant Analysis Method
Choices: 
LOINC:LA26406-1 | Karyotyping
LOINC:LA26404-6 | FISH
LOINC:LA26418-6 | PCR
LOINC:LA26419-4 | qPCR (real-time PCR)
LOINC:LA26400-4 | SNP array
LOINC:LA26813-8 | Restriction fragment length polymorphism (RFLP)
LOINC:LA26810-4 | DNA hybridization
LOINC:LA26398-0 | Sequencing
LOINC:LA26415-2 | MLPA
LOINC:LA46-8 | Other
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.method
- GA4GH Phenopacket Schema v2.0 Element: n/a"
loinc_81304_8_other,rarelink_6_1_genetic_findings,,text,6.1.4 Other Structural Variant Analysis Method [LOINC],BIOPORTAL:LOINC,Please seach for the method in here (Tip: use OLS or LOINC to search for the code and type it in here).,,,,,[loinc_81304_8] = 'loinc_la46-8',,,,,,"Variable: 
LOINC:81304-8 | Structural Variant Analysis Method Other
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.method
- GA4GH Phenopacket Schema v2.0 Element: n/a"
loinc_62374_4,rarelink_6_1_genetic_findings,,dropdown,6.1.5 Reference Genome,"loinc_la14032-9, NCBI Build 34 (hg16) | loinc_la14029-5, GRCh37 (hg19) | loinc_la14030-3, NCBI Build 36.1 (hg18) | loinc_la14031-1, NCBI Build 35 (hg17) | loinc_la26806-2, GRCh38 (hg38)",The reference genome used for analysing the genetic variant.,,,,,,,,,,,"Variable: 
LOINC:62374-4 | Reference Genome
Choices: 
LOINC:LA14032-9 | NCBI Build 34 (hg16)
LOINC:LA14029-5 | GRCh37 (hg19)
LOINC:LA14030-3 | NCBI Build 36.1 (hg18)
LOINC:LA14031-1 | NCBI Build 35 (hg17)
LOINC:LA26806-2 | GRCh38 (hg38)
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0 Variant profile: Observation.component:genomic-ref-seq
- GA4GH Phenopacket Schema v2.0 Element:"
loinc_lp7824_8,rarelink_6_1_genetic_findings,,text,6.1.6 Genetic Mutation String,,An unvalidated (HGVS) string that describes the variant change.,,,,,,,,,,,"Variable: 
LOINC:LP7824-8 | Genetic Mutation String
Choices: 
n/a
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.component:Variant.valueString
- GA4GH Phenopacket Schema v2.0 Element: [...].VariantInterpretation.VariationDescriptor.Extension"
variant_expression,rarelink_6_1_genetic_findings,,dropdown,Please choose the type of the variant's validated HGVS expression,"ghgvs, Genomic DNA change [g.HGVS] | chgvs, Sequence DNA change [c.HGVS] | phgvs, Amino Acid Change [p.HGVS]",We recommend using sequence DNA change expressions (c.HGVS) if possible.,,,,,,,,,,,
loinc_81290_9,rarelink_6_1_genetic_findings,,text,6.1.7 Genomic DNA Change [g.HGVS],,The specific change in the genomic DNA sequence encoded with a validated g.HGVS expression.,,,,,[variant_expression] = 'ghgvs',,,,,,"Variable: 
LOINC:81290-9 | Genomic DNA Change
Choices: 
n/a
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0 Variant profile: Observation.component:Variant.valueCode
- GA4GH Phenopacket Schema v2.0 Element: ""[...]VariantInterpretation.VariationDescriptor.Expression [+] [...].MoleculeContext"""
loinc_48004_6,rarelink_6_1_genetic_findings,,text,6.1.8 Sequence DNA Change [c.HGVS],,The specific change in the DNA sequence at the nucleotide level with a validated c.HGVS expression,,,,,[variant_expression] = 'chgvs',,,,,,"Variable: 
LOINC:48004-6 | Sequence DNA Change
Choices: 
n/a
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0 Variant profile: Observation.component:Variant.valueCode
- GA4GH Phenopacket Schema v2.0 Element: [...]VariantInterpretation.VariationDescriptor.Expression [+] [...].MoleculeContext"
loinc_48005_3,rarelink_6_1_genetic_findings,,text,6.1.9 Amino Acid Change [p.HGVS],,The specific change in the amino acid sequence resulting from a genetic variant as a validated p.HGVS expression,,,,,[variant_expression] = 'phgvs',,,,,,"Variable: 
LOINC:48005-3 | Amino Acid Change
Choices: 
n/a
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0 Variant profile: Observation.component:AminoAcidChange
- GA4GH Phenopacket Schema v2.0 Element: [...]VariantInterpretation.VariationDescriptor.Expression [+] [...].MoleculeContext"
variant_validation,rarelink_6_1_genetic_findings,,radio,Are you sure the entered HGVS expression was validated using the variant validator? ,"yes, Yes - I'm sure | no, No, I need to check again",Please use the links above to ensure validation of the expression you entered!,,,,,"[loinc_81290_9] <> '' or 
[loinc_48004_6] <> '' or 
[loinc_48005_3] <> ''",y,,,,,
loinc_48018_6,rarelink_6_1_genetic_findings,,text,6.1.10 Gene [HGNC-NR],BIOPORTAL:HGNC-NR,The specific gene or genes that were analysed or identified in the study.,,,,,,,,,,,"Variable: 
LOINC:48018-6 | Gene
Choices: 
n/a
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0 Variant profile: Observation.component:Gene
- GA4GH Phenopacket Schema v2.0 Element: [...].GenomicInterpretation.GeneDescriptor.value_id"
loinc_53034_5,rarelink_6_1_genetic_findings,,dropdown,6.1.11 Zygosity,"loinc_la6705-3, Homozygous | loinc_la6706-1, (simple) Heterozygous | loinc_la26217-2, Compound heterozygous | loinc_la26220-6, Double heterozygous | loinc_la6707-9, Hemizygous | loinc_la6703-8, Heteroplasmic | loinc_la6704-6, Homoplasmic | loinc_53034_5_other, Other",The zygosity of the genetic variant.,,,,,,,,,,,"Variable: 
LOINC:53034-5 | Zygosity
Choices: 
LOINC:LA6705-3 | Homozygous
LOINC:LA6706-1 | (simple) Heterozygous
LOINC:LA26217-2 | Compound heterozygous
LOINC:LA26220-6 | Double heterozygous
LOINC:LA6707-9 | Hemizygous
LOINC:LA6703-8 | Heteroplasmic
LOINC:LA6704-6 | Homoplasmic
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0: Observation.component:geneticsAllele.State | VS: Allelic State
- GA4GH Phenopacket Schema v2.0 Element: [...].GenomicInterpretation.VariantInterpretation.variationDescriptor.AllelicState"
loinc_53034_5_other,rarelink_6_1_genetic_findings,,text,6.1.11A Zygosity - Other [LOINC],BIOPORTAL:LOINC,Please search for a different zygosity in LOINC.,,,,,[loinc_53034_5] = 'loinc_53034_5_other',,,,,,"Variable: 
LOINC:53034-5 | Zygosity
Choices: 
LOINC:LA6705-3 | Homozygous
LOINC:LA6706-1 | (simple) Heterozygous
LOINC:LA26217-2 | Compound heterozygous
LOINC:LA26220-6 | Double heterozygous
LOINC:LA6707-9 | Hemizygous
LOINC:LA6703-8 | Heteroplasmic
LOINC:LA6704-6 | Homoplasmic
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0: Observation.component:geneticsAllele.State | VS: Allelic State
- GA4GH Phenopacket Schema v2.0 Element: [...].GenomicInterpretation.VariantInterpretation.variationDescriptor.AllelicState"
loinc_48002_0,rarelink_6_1_genetic_findings,,dropdown,6.1.12 Genomic Source Class,"loinc_la6683-2, Germline | loinc_la6684-0, Somatic | loinc_la10429-1, Fetal | loinc_la18194-3, Likely germline | loinc_la18195-0, Likely somatic | loinc_la18196-8, Likely fetal | loinc_la18197-6, Unknown genomic origin | loinc_la26807-0, De novo","The classification of the genomic source, such as germline, somatic, or other origins.",,,,,,,,,,,"Variable: 
LOINC:48002-0 | Genomic Source Class
Choices: 
LOINC:LA6683-2 | Germline
LOINC:LA6684-0 | Somatic
LOINC:LA10429-1 | Fetal
LOINC:LA18194-3 | Likely germline
LOINC:LA18195-0 | Likely somatic
LOINC:LA18196-8 | Likely fetal
LOINC:LA18197-6 | Unknown genomic origin
LOINC:LA26807-0 | De novo
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0: Observation.component:GenomicSourceClass
- GA4GH Phenopacket Schema v2.0 Element: n/a"
loinc_48019_4,rarelink_6_1_genetic_findings,,dropdown,6.1.13 DNA Change Type,"loinc_la9658-1, Wild type | loinc_la6692-3, Deletion | loinc_la6686-5, Duplication | loinc_la6687-3, Insertion | loinc_la6688-1, Insertion/Deletion | loinc_la6689-9, Inversion | loinc_la6690-7, Substitution | loinc_48019_4_other, Other","The variant’s type of DNA change, such as point mutation, deletion, insertion, or other types.",,,,,,,,,,,"Variable: 
LOINC:48019-4 | DNA Change Type
Choices: 
LOINC:LA9658-1 | Wild type
LOINC:LA6692-3 | Deletion
LOINC:LA6686-5 | Duplication
LOINC:LA6687-3 | Insertion
LOINC:LA6688-1 | Insertion/Deletion
LOINC:LA6689-9 | Inversion
LOINC:LA6690-7 | Substitution
Version(s): 
- LOINC vLNC278 LNC278
Mapping:
- HL7 FHIR GenomicsReporting 3.0.0: Variant.type
- GA4GH Phenopacket Schema v2.0 Element: n/a"
loinc_48019_4_other,rarelink_6_1_genetic_findings,,text,6.1.13A DNA Change Type - Other [LOINC],BIOPORTAL:LOINC,Please search for a different DNA change typ in LOINC.,,,,,[loinc_48019_4] = 'loinc_48019_4_other',,,,,,"Variable: 
LOINC:48019-4 | DNA Change Type
Choices: 
LOINC:LA9658-1 | Wild type
LOINC:LA6692-3 | Deletion
LOINC:LA6686-5 | Duplication
LOINC:LA6687-3 | Insertion
LOINC:LA6688-1 | Insertion/Deletion
LOINC:LA6689-9 | Inversion
LOINC:LA6690-7 | Substitution
Version(s): 
- LOINC vLNC278 LNC278
Mapping:
- HL7 FHIR GenomicsReporting 3.0.0: Variant.type
- GA4GH Phenopacket Schema v2.0 Element: n/a"
loinc_53037_8,rarelink_6_1_genetic_findings,,dropdown,6.1.14 Clinical Significance [ACMG],"loinc_la6668-3, Pathogenic | loinc_la26332-9, Likely pathogenic | loinc_la26333-7, Uncertain significance | loinc_la26334-5, Likely benign | loinc_la6675-8, Benign | loinc_la4489-6, Unknown","The clinical significance of the genetic variant, indicating its impact on health and disease.",,,,,,,,,,,"Variable: 
LOINC:53037-8 | Clinical Significance [ACMG]
Choices: 
LOINC:LA6668-3 | Pathogenic
LOINC:LA26332-9 | Likely pathogenic
LOINC:LA26333-7 | Uncertain significance
LOINC:LA26334-5 | Likely benign
LOINC:LA6675-8 | Benign
LOINC:LA4489-6 | Unknown
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0: Observation.component:Variant.Interpretation
- GA4GH Phenopacket Schema v2.0 Element: Interpretation.AcmgPathogenicityClassification"
ga4gh_therap_action,rarelink_6_1_genetic_findings,,dropdown,6.1.15 Therapeutic Actionability,"ga4gh_unknown_actionability, Unknown actionability | ga4gh_not_actionable, Not actionable | ga4gh_actionable, Actionable
","An enumeration flagging the variant as being a candidate for treatment/ clinical intervention of the disorder caused by this variant, which could improve the clinical outcome.",,,,,,,,,,,"Variable: 
GA4GH:therapeutic_actionability | Therapeutic Actionability
Choices: 
GA4GH:UNKNOWN_ACTIONABILITY | There is not enough information at this time to support any therapeutic actionability for this variant
GA4GH:NOT_ACTIONABLE | This variant has no therapeutic actionability.
GA4GH:ACTIONABLE | This variant is known to be therapeutically actionable.
Version(s): 
- GA4GH Phenopacket Schema Version 2.0
Mapping: 
- HL7 FHIR Expression v4.0.1: n/a
- GA4GH Phenopacket Schema v2.0 Element: [...].GenomicInterpretation.VariantInterpretation.therapeutic_actionability"
loinc_93044_6,rarelink_6_1_genetic_findings,,dropdown,6.1.16 Clinical Annotation Level Of Evidence,"loinc_la30200-2, Very strong evidence pathogenic | loinc_la30201-0, Strong evidence pathogenic | loinc_la30202-8, Moderate evidence pathogenic | loinc_la30203-6, Supporting evidence pathogenic | loinc_la30204-4, Supporting evidence benign | loinc_la30205-1, Strong evidence benign | loinc_la30206-9, Stand-alone evidence pathogenic",The level of evidence supporting the clinical annotation of the genetic variant.,,,,,,,,,,,"Variable: 
LOINC:93044-6 | Clinical Annotation Level Of Evidence
Choices: 
LOINC:LA30200-2 | Very strong evidence pathogenic
LOINC:LA30201-0 | Strong evidence pathogenic
LOINC:LA30202-8 | Moderate evidence pathogenic
LOINC:LA30203-6 | Supporting evidence pathogenic
LOINC:LA30204-4 | Supporting evidence benign
LOINC:LA30205-1 | Strong evidence benign
LOINC:LA30206-9 | Stand-alone evidence pathogenic
Version(s): 
- LOINC vLNC278 LNC278
Mapping: 
- HL7 FHIR GenomicsReporting 3.0.0: Observation.extension:Variant.Interpretation
- GA4GH Phenopacket Schema v2.0 Elemen: n/a"
snomedct_8116006,rarelink_6_2_phenotypic_feature,"<p>RareLink - 6.2) Phenotypic Feature</p> <ul> <li style=""font-size: 8pt;""><span style=""font-size: 8pt;"">Tip: For guidance on entering data into the Phenotypic Feature sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#phenotypic-features"">Manual Data Capture Guide</a>.</span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul>",text,6.2.1 Phenotypic Feature,BIOPORTAL:HP,An observed physical and clinical characteristic encoded with HPO.,,,,,,y,,,,,"Variable: 
SNOMED:8116006 | Phenotypic Feature  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.Code  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.type"
snomedct_363778006,rarelink_6_2_phenotypic_feature,,dropdown,6.2.2 Status,"snomedct_410605003, Confirmed present | snomedct_723511001, Refuted","The current status of the phenotypic feature, indicating whether it is confirmed or refuted.",,,,,,y,,,,,"Variable: 
SNOMED:363778006 | Status  
Choices: 
- SNOMED:410605003 | Confirmed present  
- SNOMED:723511001 | Refuted  
Version(s): 
- GA4GH Phenopacket Schema v2.0 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01 
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.Status (Rec VS: observation.status)  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.excluded "
snomedct_8116006_onset,rarelink_6_2_phenotypic_feature,,text,6.2.3 Determination Date,,"The date on which the phenotypic feature was observed or recorded (we the time it was observed). If the specific month or day is not known, select the 1st day of the month or the 1st month of the year, respectively",date_ymd,,,,,,,,,,"Variable: 
SNOMED:439272007:704321009=363778006 | Determination Date  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.effectiveDateTime  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.onset  "
snomedct_8116006_resolut,rarelink_6_2_phenotypic_feature,,text,6.2.4 Resolution Date,,Time at which the feature resolved or abated.,date_ymd,,,,,,,,,,"Variable: 
HPO:0034382 | Resolution Date  
Choices: 
n/a  
Version(s): 
P25-05-06 2025-05-06  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.effectiveDateTime  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.resolution"
hp_0003674,rarelink_6_2_phenotypic_feature,,dropdown,6.2.5 Age of Onset,"hp_0011460, Embryonal onset (0w-8w embryonal) | hp_0011461, Fetal onset (8w embryonal - birth) | hp_0003577, Congenital onset (at birth) | hp_0003623, Neonatal onset (0d-28d) | hp_0003593, Infantile onset (28d-1y) | hp_0011463, Childhood onset (1y-5y) | hp_0003621, Juvenile onset (5y-15y) | hp_0011462, Young adult onset (16y-40y) | hp_0003596, Middle age adult onset (40y-60y) | hp_0003584, Late adult onset (60y+)",,,,,,,,,,,,"Variable: 
HP:0003674 | Onset Category  
Choices: 
- HP:0011460 | Embryonal onset (0w-8w embryonal)  
- HP:0011461 | Fetal onset (8w embryonal - birth)  
- HP:0003577 | Congenital onset (at birth)  
- HP:0003623 | Neonatal onset (0d-28d)  
- HP:0003593 | Infantile onset (28d-1y)  
- HP:0011463 | Childhood onset (1y-5y)  
- HP:0003621 | Juvenile onset (5y-15y)  
- HP:0011462 | Young adult onset (16y-40y)  
- HP:0003596 | Middle age adult onset (40y-60y)  
- HP:0003584 | Late adult onset (60y+)  
Version(s): 
P25-05-06 2025-05-06  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.category  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.onset"
hp_0011008,rarelink_6_2_phenotypic_feature,,dropdown,6.2.6 Temporal Pattern,"hp_0011009, Acute | hp_0011010, Chronic | hp_0031914, Fluctuating | hp_0025297, Prolonged | hp_0031796, Recurrent | hp_0031915, Stable | hp_0011011, Subactue | hp_0025153, Transient",,,,,,,,,,,,"Variable: 
HP:0011008 | Temporal Pattern  
Choices: 
- HP:0011009 | Acute  
- HP:0011010 | Chronic  
- HP:0031914 | Fluctuating  
- HP:0025297 | Prolonged  
- HP:0031796 | Recurrent  
- HP:0031915 | Stable  
- HP:0011011 | Subactue  
- HP:0025153 | Transient  
Version(s): 
P25-05-06 2025-05-06  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.interpretation  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.modifiers"
hp_0012824,rarelink_6_2_phenotypic_feature,,dropdown,6.2.7 Phenotype Severity,"hp_0012827, Borderline | hp_0012825, Mild | hp_0012826, Moderate | hp_0012829, Profound | hp_0012828, Severe",,,,,,,,,,,,"Variable: 
HP:0012824 | Severity  
Choices: 
- HP:0012827 | Borderline  
- HP:0012825 | Mild  
- HP:0012826 | Moderate  
- HP:0012829 | Profound  
- HP:0012828 | Severe  
Version(s): 
P25-05-06 2025-05-06  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.interpretation  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.severity
"
hp_0012823_hp1,rarelink_6_2_phenotypic_feature,,text,6.2.8A Clinical Modifier [HP],BIOPORTAL:HP,"Further clinical modifiers to describe a specific phenotypic feature, if possible part of these: https://hpo.jax.org/browse/term/HP:0012823 ",,,,,,,,,,,"Variable: 
GA4GH:phenotypicfeature.modifier | Modifier  
Choices: 
n/a  
Version(s): 
- GA4GH Phenopacket Schema v2.0  
Mapping: 
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.extension  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.modifier"
hp_0012823_hp2,rarelink_6_2_phenotypic_feature,,text,6.2.8B Clinical Modifier [HP],BIOPORTAL:HP,"Further clinical modifiers to describe a specific phenotypic feature, if possible part of these: https://hpo.jax.org/browse/term/HP:0012823 ",,,,,"[hp_0012823_hp1] <> """"",,,,,,"Variable: 
GA4GH:phenotypicfeature.modifier | Modifier  
Choices: 
n/a  
Version(s): 
- GA4GH Phenopacket Schema v2.0  
Mapping: 
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.extension  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.modifier"
hp_0012823_hp3,rarelink_6_2_phenotypic_feature,,text,6.2.8C Clinical Modifier [HP],BIOPORTAL:HP,"Further clinical modifiers to describe a specific phenotypic feature, if possible part of these: https://hpo.jax.org/browse/term/HP:0012823 ",,,,,"[hp_0012823_hp2] <> """"",,,,,,"Variable: 
GA4GH:phenotypicfeature.modifier | Modifier  
Choices: 
n/a  
Version(s): 
- GA4GH Phenopacket Schema v2.0  
Mapping: 
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.extension  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.modifier"
hp_0012823_ncbitaxon,rarelink_6_2_phenotypic_feature,,text,"6.2.8D If applicable, what was the causing organism? [NCBITAXON]",BIOPORTAL:NCBITAXON,"If applicable, select the causing organism in NCBITaxon and consider the tips above. It is recommended to select a common set of choices if capturing phenotypes for a cohort. ",,,,,,,,,,,"Variable: 
GA4GH:phenotypicfeature.modifier | Modifier  
Choices: 
n/a  
Version(s): 
- GA4GH Phenopacket Schema v2.0  
Mapping: 
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.extension  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.modifier"
hp_0012823_snomedct,rarelink_6_2_phenotypic_feature,,text,"6.2.8E If applicable, what was the primary body site? [SNOMED]",BIOPORTAL:SNOMEDCT,"If applicable, select the primary bodysite in SNOMED and consider the tips above. It is recommended to select a common set of choices if capturing phenotypes for a cohort.",,,,,,,,,,,"Variable: 
GA4GH:phenotypicfeature.modifier | Modifier  
Choices: 
n/a  
Version(s): 
- GA4GH Phenopacket Schema v2.0  
Mapping: 
- HL7 FHIR Expression v4.0.1 [Suggested]: Observation.extension  
- GA4GH Phenopacket Schema v2.0 Element: PhenotypicFeature.modifier"
phenotypicfeature_evidence,rarelink_6_2_phenotypic_feature,,text,6.2.9 Evidence for the phenotype [ECO],BIOPORTAL:ECO,The evidence for an assertion of the observation of a type defined within the Evidence & Conclusion Ontology (ECO).,,,,,,,,,,,
measurement_category,rarelink_6_3_measurements,"<p>RareLink - 6.3) Measurements</p> <ul> <li style=""font-size: 8pt;"">For guidance on entering data into the Phenotypic Features sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#measurements"">Manual Data Capture Guide</a>.</li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul>",dropdown,6.3.0A Category,"social-history, Social History | vital-signs, Vital Signs | imaging, Imaging | laboratory, Laboratory | procedure, Procedure | survey, Survey | exam, Exam | therapy, Therapy | activity, Activity",The type of measurement performed.,,,,,,y,,,,,"Variable: measurement_category | 6.3.0 Measurement Category
Choices: 
- social-history | Social History  
- vital-signs | Vital Signs  
- imaging | Imaging  
- laboratory | Laboratory  
- procedure | Procedure  
- survey | Survey  
- exam | Exam  
- therapy | Therapy  
- activity | Activity  
Version(s): 
- HL7 FHIR v4.0.1
Mapping: 
- HL7 FHIR Expression v4.0.1: Obersvation.category
- GA4GH Phenopacket Schema v2.0 Element: n/a"
measurement_status,rarelink_6_3_measurements,,dropdown,6.3.0B Status,"registered, Registered | preliminary, Preliminary | final, Final | amended, Amended | corrected, Corrected | cancelled, Cancelled | unknown, Unknown",The status of the measurement.,,,,,[measurement_category] != 'procedure',y,,,,,"Variable: measurement_status | 6.3.0B Measurement Status
Choices: 
- registered | Registered
- preliminary | Preliminary
- final | Final
- amended | Amended
- corrected | Corrected
- cancelled | Cancelled
- unknown | Unknown
Version(s): 
- HL7 FHIR v4.0.1
Mapping: 
- HL7 FHIR Expression v4.0.1: Obersvation.status
- GA4GH Phenopacket Schema v2.0 Element: n/a"
