SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO
17L/01A,ALBUFEIRA DE PÓVOA E MEADAS (R.E.),313,39.486,-7.557,249710.069,278915.146,TEJO,RIBEIRA DE NISA,149.82,-,PORTALEGRE,CASTELO DE VIDE,SANTIAGO MAIOR,EDP,EDP-Hidrotejo AS,Sensores automáticos,ESCALA,01-01-1928,-,01-07-2007,-,SIM,ATIVA,
07M/01A,ALBUFEIRA DE RANHADOS,712,41.008,-7.335,267120.407,449098.294,DOURO,RIO TORTO,46.19,-,GUARDA,MÊDA,RANHADOS,Autoridade Nacional da Água,A. M. RIO TORTO,Sensor de nível em albufeira,ESCALA,01-01-1986,-,03-01-2002,-,NÃO,ATIVA,
21A/01A,ALBUFEIRA DE RIO DA MULA,153,38.763,-9.419,87967.974,200411.287,RIBEIRAS DO OESTE,RIBEIRA DO VALE DA MULA,2.8,-,LISBOA,CASCAIS,ALCABIDECHE,Autoridade Nacional da Água,SERVIÇOS MUNICIPALIZADOS DE CASCAIS,Sensor de nível em albufeira,ESCALA,01-01-1968,-,16-01-2002,-,NÃO,ATIVA,
03I/01A,ALBUFEIRA DE SALAMONDE (R.E.),271,41.689,-8.094,203433.193,524674.951,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,615.05,-,BRAGA,VIEIRA DO MINHO,SALAMONDE,EDP,EDP,Sensores automáticos,ESCALA,01-01-1953,-,27-01-1997,-,SIM,ATIVA,
28G/01A,ALBUFEIRA DE SANTA CLARA,108,37.516,-8.44,172750.57,60805.616,MIRA,RIO MIRA,522.6,-,BEJA,ODEMIRA,SANTA CLARA-A-VELHA,Autoridade Nacional da Água,BENEFICIÁRIOS DO MIRA,Sensor de nível em albufeira,ESCALA,20-10-1967,-,04-05-2001,-,NÃO,ATIVA,
13J/01A,ALBUFEIRA DE SANTA LUZIA (R.E.),635,40.09,-7.858,223448.006,346829.67,TEJO,RIBEIRA DE UNHAIS,49.37,-,COIMBRA,PAMPILHOSA DA SERRA,VIDUAL,EDP,EDP-Hidrocenel,Sensores automáticos,ESCALA,01-01-1942,-,09-04-2017,-,SIM,ATIVA,
08P/01A,ALBUFEIRA DE SANTA MARIA DE AGUIAR,613,40.867,-6.893,304826.288,433561.901,DOURO,RIBEIRA DE AGUIAR,128.32,-,GUARDA,FIGUEIRA DE CASTELO RODRIGO,CASTELO RODRIGO,Autoridade Nacional da Água,CÂMARA MUNICIPAL FIGUEIRA CASTELO RODRIGO,Sensor de nível em albufeira,ESCALA,01-01-1981,-,28-12-2001,-,NÃO,ATIVA,
14M/01A,ALBUFEIRA DE SANTA ÁGUEDA (MARATECA),369,39.969,-7.481,255711.797,333572.705,TEJO,RIO OCREZA,61.4,-,CASTELO BRANCO,CASTELO BRANCO,PÓVOA DE RIO DE MOINHOS,Autoridade Nacional da Água,SMAS CASTELO BRANCO,Sensor de nível em albufeira,ESCALA,01-01-1990,-,23-01-2002,-,NÃO,SUSPENSA,
17B/01A,ALBUFEIRA DE SÃO DOMINGOS,37,39.341,-9.314,97878.303,263629.289,RIBEIRAS DO OESTE,RIO DE SÃO DOMINGOS,39.43,-,LEIRIA,PENICHE,ATOUGUIA DA BALEIA,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE PENICHE,Sensor de nível em albufeira,ESCALA,01-01-1993,-,15-02-2002,-,NÃO,ATIVA,
08N/02AE,ALBUFEIRA DE TEJA,550,40.97,-7.312,269148.217,444831.028,DOURO,RIBEIRA DE TEJA,91.83,-,GUARDA,MÊDA,OUTEIRO DE GATOS,-,CAMARA MUNICIPAL DE TRANCOSO,-,ESCALA,01-01-1995,-,-,-,NÃO,ATIVA,
06P/02AE,ALBUFEIRA DE VALE COVO,339,41.267,-7.016,293626.101,478113.476,DOURO,RIBEIRA DO MONDEGO,2.2,-,BRAGANÇA,TORRE DE MONCORVO,CARDANHA,-,CÂMARA MUNICIPAL DE TORRE DE MONCORVO,-,ESCALA,01-01-1993,-,-,-,NÃO,ATIVA,
24H/01A,ALBUFEIRA DE VALE DO GAIO,32,38.246,-8.297,185782.912,142352.57,SADO,RIBEIRA DO XARRAMA,513.29,-,SETÚBAL,ALCÁCER DO SAL,TORRÃO,Autoridade Nacional da Água,ASSOCIAÇÃO DE BENEFICIÁRIOS DO VALE DO SADO,Sensor de nível em albufeira,ESCALA,01-01-1949,-,01-07-2001,-,NÃO,SUSPENSA,
05O/02A,ALBUFEIRA DE VALE MADEIRO,-,41.480776,-7.079466,283729.4,501940.85,DOURO,-,-,-,BRAGANÇA,MIRANDELA,CEDÃES,APA,-,Sensor de nível em albufeira,-,-,-,31-05-2016,-,NÃO,ATIVA,
02Q/02AE,ALBUFEIRA DE VEIGUINHAS,-,41.953825833,-6.804194167,310185,554670,DOURO,RIO SABOR,9.01,-,BRAGANÇA,BRAGANÇA,CARRAGOSA,-,ÁGUAS DE TRÁS-OS-MONTES E ALTO DOURO S.A.,-,ESCALA,01-12-2014,-,-,-,NÃO,ATIVA,
03J/04A,ALBUFEIRA DE VENDA NOVA (R.E.),671,41.681225973,-7.984773617,212352,523549,CÁVADO/RIBEIRAS COSTEIRAS,RIO RABAGÃO,239.35,-,BRAGA,VIEIRA DO MINHO,CAMPOS,EDP,EDP,Sensores automáticos,ESCALA,01-01-1951,-,27-01-1997,-,SIM,ATIVA,
03J/05A,ALBUFEIRA DE VENDA NOVA FRADES (R.E.),587,41.683,-7.99,211953.536,523721.316,CÁVADO/RIBEIRAS COSTEIRAS,RIO RABAGÃO,239.67,-,BRAGA,VIEIRA DO MINHO,CAMPOS,EDP,-,Sensores automáticos,-,-,-,15-11-2005,-,SIM,ATIVA,
06P/01A,ALBUFEIRA DE VILAR FERREIRO (CARVIÇAIS),435,41.2,-6.88,303787,472516,DOURO,RIO SABOR,15.21,-,BRAGANÇA,TORRE DE MONCORVO,CARVIÇAIS,Autoridade Nacional da Água,-,Sensor de nível em albufeira,ESCALA,01-01-1985,-,18-08-2003,-,NÃO,ATIVA,
08L/01A,ALBUFEIRA DE VILAR TABUAÇO (R.E.),547,40.987,-7.535,250347,446630,DOURO,RIO TÁVORA,357.39,-,VISEU,SERNANCELHE,FONTE ARCADA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1965,-,11-11-2002,-,SIM,ATIVA,
03H/01A,ALBUFEIRA DE VILARINHO DAS FURNAS (R.E.),497,41.759,-8.217,193655.069,532671.389,CÁVADO/RIBEIRAS COSTEIRAS,RIO HOMEM,58.51,-,BRAGA,TERRAS DE BOURO,CAMPO DO GERÊS,EDP,EDP,Sensores automáticos,ESCALA,01-01-1972,-,27-01-1997,-,SIM,ATIVA,
17C/06A,ALBUFEIRA DE ÓBIDOS (DGADR),-,39.360089,-9.137291,113345.45,266443.34,RIBEIRAS DO OESTE,RIO ARNOIA,-,-,LEIRIA,ÓBIDOS,ÓBIDOS (SANTA MARIA),DIRECÇÃO GERAL DA AGRICULTURA E DESENVOLVIMENTO RURAL (DGADR),-,Sensor de nível em albufeira,-,-,-,01-05-2015,-,NÃO,ATIVA,
19O/01A,ALBUFEIRA DO ABRILONGO (DGADR),237,39.096,-7.121,287566.781,236984.465,GUADIANA,RIBEIRA DO ABRILONGO,123.35,-,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,DIRECÇÃO GERAL DA AGRICULTURA E DESENVOLVIMENTO RURAL (DGADR),-,Sensor de nível em albufeira,ESCALA,07-03-2005,-,01-07-2015,-,NÃO,ATIVA,
06M/01A,ALBUFEIRA DO ALIJÓ (VILA CHÃ),656,41.309,-7.445,253768.327,482336.389,DOURO,RIBEIRA DA CHA,9.13,-,VILA REAL,ALIJÓ,VILA CHÃ,Autoridade Nacional da Água,CCDR-NORTE,Sensor de nível em albufeira,ESCALA,01-01-1991,-,21-08-2003,-,NÃO,SUSPENSA,
24M/06A,ALBUFEIRA DO ALQUEVA,90,38.197,-7.495,255865.105,136895.057,GUADIANA,RIO GUADIANA,55289,-,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,25-09-2002,22-05-2017,NÃO,DESATIVADA,
24M/07A,ALBUFEIRA DO ALQUEVA (R.E.),81,38.197,-7.495,255874.371,136895.057,GUADIANA,RIO GUADIANA,55289.4,-,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),EDP,-,Sensores automáticos,-,07-02-2002,-,15-11-2005,-,SIM,ATIVA,
24M/08A,ALBUFEIRA DO ALQUEVA JUSANTE (R.E.),-,38.16889,-7.490436,256215.23,133915.68,GUADIANA,RIO GUADIANA,-,-,-,-,-,EDP,-,Sensores automáticos,-,-,-,01-09-2012,-,NÃO,ATIVA,
12J/01A,ALBUFEIRA DO ALTO CEIRA (R.E.),670,40.19,-7.846,224439.266,357953.097,MONDEGO,RIO CEIRA,24.04,-,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,EDP,EDP-Hidrocenel,Sensores automáticos,ESCALA,01-01-1949,-,21-12-2015,-,SIM,ATIVA,
03J/02AE,ALBUFEIRA DO ALTO CÁVADO (R.E.),882,41.803,-7.876,221343.483,537076.438,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,99.12,-,VILA REAL,MONTALEGRE,SEZELHE,-,EDP,-,ESCALA,01-01-1964,-,-,-,NÃO,ATIVA,
02H/01A,ALBUFEIRA DO ALTO LINDOSO (R.E.),275,41.871,-8.205,194187.974,544749.195,LIMA,RIO LIMA,1510.93,-,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,EDP,EDP,Sensores automáticos,ESCALA,01-01-1992,-,28-01-1997,-,SIM,ATIVA,
03J/03A,ALBUFEIRA DO ALTO RABAGÃO (R.E.),797,41.732,-7.861,223149.777,529796.535,CÁVADO/RIBEIRAS COSTEIRAS,RIO RABAGÃO,103.19,-,VILA REAL,MONTALEGRE,VIADE DE BAIXO,EDP,EDP,Sensores automáticos,ESCALA,01-01-1964,-,01-02-1997,-,SIM,ATIVA,
24J/01A,ALBUFEIRA DO ALVITO,193,38.275,-7.921,219468.149,145792.821,SADO,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,210.77,-,BEJA,CUBA,VILA ALVA,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível em albufeira,ESCALA,01-01-1977,-,30-08-2001,-,SIM,ATIVA,
06K/05A,ALBUFEIRA DO ALVÃO (VILA REAL),679,41.32,-7.8,227919,483473.441,DOURO,RIO LOUREDO,12.43,-,VILA REAL,VILA REAL,MONDRÕES,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,11-09-2003,-,NÃO,ATIVA,
30G/02A,ALBUFEIRA DO ARADE,51,37.238,-8.381,178422.552,30417.494,ARADE,RIO ARADE,224.98,-,FARO,SILVES,SILVES,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE SILVES LAGOA E PORTIMÃO,Sensor de nível em albufeira,ESCALA,01-01-1955,-,28-06-2001,-,NÃO,SUSPENSA,
07P/01A,ALBUFEIRA DO ARROIO,442,41.089,-6.998,295385.079,458388.42,DOURO,RIBEIRO DO ARROIO,12.59,-,BRAGANÇA,TORRE DE MONCORVO,URRÓS,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE TORRE DE MONCORVO,Sensor de nível em albufeira,ESCALA,01-01-1992,-,01-09-2003,-,NÃO,SUSPENSA,
04P/01A,ALBUFEIRA DO AZIBO,595,41.557,-6.888,303868.376,510450.718,DOURO,RIO AZIBO,93.13,-,BRAGANÇA,MACEDO DE CAVALEIROS,VALE DA PORCA,Autoridade Nacional da Água,CCDR-NORTE,Sensor de nível em albufeira,ESCALA,01-01-1982,-,21-08-2003,-,NÃO,ATIVA,
06O/09A,ALBUFEIRA DO BAIXO SABOR (R.E.),-,41.228605,-7.012504,293860.34,474052.72,DOURO,RIO SABOR,-,-,BRAGANÇA,TORRE DE MONCORVO,-,Engie  Portugal,-,Sensores automáticos,-,-,-,21-12-2015,-,SIM,ATIVA,
06O/10A,ALBUFEIRA DO BAIXO SABOR JUS (R.E.),-,41.202247,-7.092974,287147.53,471040.88,DOURO,RIO SABOR,-,-,BRAGANÇA,TORRE DE MONCORVO,-,Engie  Portugal,-,Sensores automáticos,-,-,-,21-12-2015,-,NÃO,ATIVA,
30L/02A,ALBUFEIRA DO BELICHE,39,37.278,-7.507,255330.111,34670.837,GUADIANA,RIBEIRA DE BELICHE,98.47,-,FARO,CASTRO MARIM,AZINHAL,Autoridade Nacional da Água,CCDR-ALGARVE,Sensor de nível em albufeira,ESCALA,01-01-1986,-,26-06-2001,-,SIM,SUSPENSA,
14I/01A,ALBUFEIRA DO CABRIL (R.E.),257,39.929,-8.127,200037.661,327686.666,TEJO,RIO ZÊZERE,2416.32,-,LEIRIA,PEDRÓGÃO GRANDE,PEDRÓGÃO GRANDE,EDP,EDP,Sensores automáticos,ESCALA,01-01-1954,-,14-11-1996,-,SIM,ATIVA,
20O/01A,ALBUFEIRA DO CAIA,242,38.996,-7.14,285228.997,226023.26,GUADIANA,RIO CAIA,567.55,-,PORTALEGRE,ELVAS,SÃO VICENTE E VENTOSA,Autoridade Nacional da Água,BENEFICIÁRIOS DO CAIA,Sensor de nível em albufeira,ESCALA,01-01-1967,-,02-05-2001,-,NÃO,SUSPENSA,
10M/01A,ALBUFEIRA DO CALDEIRÃO (R.E.),698,40.535,-7.335,268028.712,396198.062,MONDEGO,RIBEIRA DO CALDEIRÃO,37.31,-,GUARDA,GUARDA,PÊRO SOARES,EDP,EDP,Sensores automáticos,ESCALA,01-01-1993,-,08-05-2006,-,SIM,ATIVA,
07I/01A,ALBUFEIRA DO CARRAPATELO (R.E.),32,41.088,-8.126,200194.002,457396.856,DOURO,RIO DOURO,92375.87,-,VISEU,CINFÃES,SÃO CRISTOVÃO DE NOGUEIRA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1972,-,25-11-1996,-,SIM,ATIVA,
16G/03A,ALBUFEIRA DO CARRIL,-,39.608725,-8.357725,180605.96,293591.06,TEJO,RIBEIRA DA LOUSA,-,-,SANTARÉM,TOMAR,JUNCEIRA,APA,-,Sensor de nível em albufeira,-,-,-,26-09-2016,-,NÃO,ATIVA,
21J/01A,ALBUFEIRA DO DIVÔR,262,38.705,-7.924,218029.646,192580.054,TEJO,RIO DIVÔR,42.38,-,ÉVORA,ARRAIOLOS,IGREJINHA,Autoridade Nacional da Água,ASSOCIAÇÃO DE BENEFICIÁRIOS DO DIVÔR,Sensor de nível em albufeira,ESCALA,01-01-1965,-,03-07-2001,-,NÃO,ATIVA,
26M/01A,ALBUFEIRA DO ENXOÉ,171,37.98,-7.45,258666.896,114344.123,GUADIANA,RIBEIRA DO ENXOÉ,61.15,-,BEJA,SERPA,SERPA (SALVADOR),Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível em albufeira,ESCALA,01-01-1998,-,16-05-2001,-,NÃO,ATIVA,
16K/02A,ALBUFEIRA DO FRATEL (R.E.),70,39.531,-7.833,228394.18,286192.823,TEJO,RIO TEJO,59639.21,-,PORTALEGRE,NISA,AMIEIRA DO TEJO,EDP,EDP,Sensores automáticos,ESCALA,01-01-1974,-,23-01-1996,-,SIM,ATIVA,
30G/01A,ALBUFEIRA DO FUNCHO,79,37.274,-8.374,177868.124,32998.532,ARADE,RIO ARADE,212.59,-,FARO,SILVES,SILVES,Autoridade Nacional da Água,CCDR-ALGARVE,Sensor de nível em albufeira,ESCALA,01-01-1993,-,05-12-1997,-,SIM,ATIVA,
11L/01A,ALBUFEIRA DO LAGOACHO (R.E.),1424,40.386,-7.62,243545.012,379844.937,MONDEGO,RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES,7.11,-,GUARDA,SEIA,SABUGUEIRO,EDP,EDP-Hidrocenel,Sensores automáticos,ESCALA,01-01-1993,-,01-03-2017,-,SIM,ATIVA,
19J/01A,ALBUFEIRA DO MARANHÃO,131,39.015,-7.976,213616.885,227480.358,TEJO,RIBEIRA DA RAIA OU DE SEDA,2282.09,-,PORTALEGRE,AVIS,MARANHÃO,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO VALE DO SORRAIA,-,ESCALA,01-01-1957,-,-,-,NÃO,SUSPENSA,
27H/02AE,ALBUFEIRA DO MONTE GATO,174,37.791,-8.237,190841.689,91570.169,SADO,RIBEIRA DA FERRARIA OU BARRANCO DO MONTE DO GATO,6.45,-,BEJA,OURIQUE,CONCEIÇÃO,-,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE CAMPILHAS E ALTO SADO,-,ESCALA,01-01-1991,-,-,-,NÃO,ATIVA,
22K/01A,ALBUFEIRA DO MONTE NOVO,183,38.511,-7.71,236905.05,171630.093,GUADIANA,RIO DEGEBE,261.39,-,ÉVORA,ÉVORA,SÃO MANÇOS,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível em albufeira,ESCALA,01-01-1982,-,03-07-2001,-,SIM,ATIVA,
16I/02A,ALBUFEIRA DO NEGRELINHO,188,39.508,-8.094,203386.259,282193.749,TEJO,RIO FRIO,.03,-,SANTARÉM,ABRANTES,MOURISCAS,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,13-12-2001,-,NÃO,ATIVA,
30G/11AE,ALBUFEIRA DO ODELOUCA,58,37.28694,-8.471098,169920.48,35883.71,ARADE,RIBEIRA DE ODELOUCA,-,-,FARO,MONCHIQUE,MONCHIQUE,ÁGUAS DO ALGARVE S.A.,-,-,ESCALA,01-01-2008,-,-,-,NÃO,ATIVA,
06N/02AE,ALBUFEIRA DO PALAMEIRO,585,41.176,-7.219,276687.36,467812.684,DOURO,RIBEIRA DE CATALINO,13,-,BRAGANÇA,CARRAZEDA DE ANSIÃES,VILARINHO DA CASTANHEIRA,-,CÂMARA MUNICIPAL DE TORRE DE MONCORVO,-,ESCALA,01-01-1992,-,-,-,NÃO,ATIVA,
06O/01A,ALBUFEIRA DO PENEIREIRO,604,41.295438166,-7.174163649,280322,481134,DOURO,RIBEIRA DO ARCO,1.54,-,BRAGANÇA,VILA FLOR,VILA FLOR,Autoridade Nacional da Água,CAMARA MUNICIPAL DE VILA FLÔR,Sensor de nível em albufeira,ESCALA,01-01-1973,-,19-08-2003,-,NÃO,ATIVA,
05S/01A,ALBUFEIRA DO PICOTE (R.E.),477,41.386,-6.374,349053.884,491631.009,DOURO,RIO DOURO,64018.9,-,BRAGANÇA,MIRANDA DO DOURO,PICOTE,Engie  Portugal,EDP,Sensores automáticos,ESCALA,01-01-1958,-,25-11-1996,-,SIM,ATIVA,
13L/02A,ALBUFEIRA DO PISCO,496,40.019,-7.556,249214.769,339403.247,TEJO,RIO RAMALHOSO,14.14,-,CASTELO BRANCO,CASTELO BRANCO,SÃO VICENTE DA BEIRA,Autoridade Nacional da Água,SMAS CASTELO BRANCO,Sensor de nível em albufeira,ESCALA,01-01-1968,-,12-12-2001,-,NÃO,ATIVA,
07O/02A,ALBUFEIRA DO POCINHO (R.E.),131,41.135220512,-7.114295478,285545,463397,DOURO,RIO DOURO,81258.21,-,GUARDA,VILA NOVA DE FOZ CÔA,VILA NOVA DE FOZ CÔA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1982,-,25-11-1996,-,SIM,ATIVA,
16L/01AE,ALBUFEIRA DO POIO,278,39.516,-7.583,247346.115,283233.789,TEJO,RIBEIRA DE NISA,165.79,-,PORTALEGRE,NISA,ESPÍRITO SANTO,-,-,-,ESCALA,01-01-1932,-,-,-,NÃO,ATIVA,
09H/06A,ALBUFEIRA DO RIBEIRADIO (R.E.),-,40.742218,-8.319449,184159.39,419448.49,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,945,-,VISEU,OLIVEIRA DE FRADES,-,EDP,-,Sensores automáticos,-,-,-,01-01-2016,-,SIM,ATIVA,
26I/01A,ALBUFEIRA DO ROXO,130,37.929604974,-8.081894325,204501,106988,SADO,RIBEIRA DO ROXO OU DE SANTA VITÓRIA,351.1,-,BEJA,ALJUSTREL,ERVIDEL,Autoridade Nacional da Água,BENEFICIÁRIOS DO ROXO,Sensor de nível em albufeira,ESCALA,01-01-1967,-,06-02-2001,-,SIM,SUSPENSA,
12O/02A,ALBUFEIRA DO SABUGAL (DGADR),527,40.261,-7.143,288499.742,374677.581,DOURO,RIO CÔA,130.92,-,GUARDA,SABUGAL,SABUGAL,DIRECÇÃO GERAL DA AGRICULTURA E DESENVOLVIMENTO RURAL (DGADR),-,Sensor de nível em albufeira,ESCALA,01-01-2000,-,08-05-2005,-,NÃO,ATIVA,
06O/02A,ALBUFEIRA DO SALGUEIRO,197,41.32,-7.06,290359.867,485648.221,DOURO,RIBEIRA DA VILARIÇA,4.01,-,BRAGANÇA,ALFÂNDEGA DA FÉ,VILARELHOS,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES DE VALE VILARIÇA,Sensor de nível em albufeira,ESCALA,01-01-1975,-,19-08-2003,-,NÃO,ATIVA,
06K/01A,ALBUFEIRA DO SORDO,683,41.285,-7.828,225557,479556.717,DOURO,RIO SORDO,38.55,-,VILA REAL,VILA REAL,TORGUEDA,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,11-09-2003,09-09-2016,NÃO,DESATIVADA,
07H/01A,ALBUFEIRA DO TORRÃO (R.E.),64,41.098,-8.262,189177.414,458685.88,DOURO,RIO TÂMEGA,3268.29,-,PORTO,MARCO DE CANAVESES,ALPENDURADA E MATOS,EDP,EDP,Sensores automáticos,ESCALA,01-01-1988,-,25-11-1996,-,SIM,ATIVA,
03G/01A,ALBUFEIRA DO TOUVEDO (R.E.),62,41.812,-8.349,181637.807,538107.245,LIMA,RIO LIMA,1686.56,-,VIANA DO CASTELO,PONTE DA BARCA,TOUVEDO (SALVADOR),EDP,EDP,Sensores automáticos,ESCALA,01-01-1993,-,18-12-1996,-,SIM,ATIVA,
11L/02A,ALBUFEIRA DO VALE DO ROSSIM (R.E.),1427,40.4,-7.589,246225.846,381352.154,MONDEGO,RIO ALVA OU RIBEIRA DA FERVENÇA,4.3,-,GUARDA,GOUVEIA,MANGUALDE DA SERRA,EDP,EDP-Hidrocenel,Sensores automáticos,ESCALA,01-01-1956,-,01-01-2016,-,SIM,ATIVA,
04J/08A,ALBUFEIRA DOS DAIVÕES (R.E.),-,41.525288,-7.863249,222424.06,506433.61,DOURO,RIO TÂMEGA,-,-,VILA REAL,RIBEIRA DE PENA,UNIÃO DAS FREGUESIAS DE RIBEIRA DE PENA (SALVADOR) E SANTO ALEIXO DE ALÉM-TÂMEGA,IBERDROLA,-,Sensores automáticos,-,-,-,01-12-2019,-,NÃO,ATIVA,
06O/11A,ALBUFEIRA FEITICEIRO (R.E.),-,-7.110299066,41.211539425,285781,471877,DOURO,RIO SABOR,-,-,BRAGANÇA,TORRE DE MONCORVO,CABEÇA BOA,EDP,-,Sensores automáticos,-,-,-,01-01-2016,-,SIM,ATIVA,
06M/06A,ALBUFEIRA FOZ DO TUA (R.E.),-,41.218872,-7.422642,259474.63,475048.56,DOURO,RIO TUA,-,-,VILA REAL,ALIJÓ,PINHÃO,Engie  Portugal,-,Sensores automáticos,-,-,-,01-01-2018,-,SIM,ATIVA,
H001H,ALCARIA,-,-,-,-,-,TEJO,RIBEIRA DO CABRÃO,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
H002H,ALCARIA (FÓRNEA),-,-,-,-,-,TEJO,RIBEIRA DA FORNEA,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
H003H,ALCOBERTAS,-,-,-,-,-,TEJO,RIBEIRA DAS ALCOBERTAS OU FRÁGUAS,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
29M/03H,ALCOUTIM,8,37.471,-7.469,258740.371,56330.018,GUADIANA,RIO GUADIANA,65768.81,-5.81,FARO,ALCOUTIM,ALCOUTIM,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,09-04-2003,-,SIM,ATIVA,
23F/01H,ALCÁCER DO SAL,1,38.37,-8.507,167304.991,155947.142,SADO,RIO SADO,6054.18,-2.18,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA,09-08-1956,30-09-1968,06-02-2001,-,SIM,ATIVA,
23I/02H,ALCÁÇOVAS VALVERDE,150,38.439,-8.158,197788.277,163555.921,SADO,RIBEIRA DE ALCÁÇOVAS,314.08,-,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,21-08-2001,-,SIM,SUSPENSA,
17C/01H,ALFEIZERÃO,13,39.495,-9.093,117465.667,281231.131,RIBEIRAS DO OESTE,RIO ALFEIZEIRÃO,61,-,LEIRIA,ALCOBAÇA,ALFEIZERÃO,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1949,31-03-1966,14-02-2002,-,NÃO,SUSPENSA,
17I/01H,ALFERRAREDE,21,39.481,-8.148,198705.656,279157.304,TEJO,RIO TEJO,61838.15,-,SANTARÉM,ABRANTES,ALFERRAREDE,-,CCDR-LVT,-,ESCALA,01-10-1974,01-05-1979,-,-,NÃO,EXTINTA,
14H/02H,ALGE,370,39.98,-8.275,187868.43,334587.396,TEJO,RIBEIRA DO ALGE,43.74,-,LEIRIA,FIGUEIRÓ DOS VINHOS,CAMPELO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,20-08-2002,-,SIM,ATIVA,
11H/01H,ALMAÇA,72,40.34,-8.228,191944.38,374576.346,MONDEGO,RIBEIRA DE MORTAGUA OU DE CRISTINA OU DA FOZ OU DE MOINHOS OU DO LAGOEIRO OU RIBEIRO DO CARVALHAL OU DE PAREDES,204.08,53.14,VISEU,MORTÁGUA,ALMAÇA,-,CCDR-CENTRO,-,LIMNIMÉTRICA COM DESCARREGADOR,09-11-1958,26-09-1985,-,-,NÃO,EXTINTA,
18F/02H,ALMEIRIM,6,39.213,-8.636,156585.709,249631.311,TEJO,VALA DE ALPIARÇA OU DO PAÚL OU RIBEIRA DE ULME,381.24,2.69,SANTARÉM,ALMEIRIM,ALMEIRIM,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,ESCALA,01-10-1935,-,25-04-2001,-,NÃO,ATIVA,
17G/02H,ALMOUROL,19,39.461,-8.375,179148.403,276991.639,TEJO,RIO TEJO,67482.3,12.25,SANTARÉM,VILA NOVA DA BARQUINHA,PRAIA DO RIBATEJO,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,Limnigráfica,01-10-1971,-,01-01-1997,-,SIM,ATIVA,
